day,return
1,-0.014288872108567581
2,0.004931058379619175
3,0.012339995532051276
4,-0.005758519383073224
5,-0.01554775040823571
6,-0.0003863528601612348
7,0.006136145226989848
8,0.0135782171973293
9,-0.01419049519414417
10,-0.015114373410162156
11,0.008871134831155772
12,0.006089028559484322
13,0.018805428744177417
14,0.012189506886998852
15,-0.0008213779652899869
16,-0.0028908394626246713
17,0.03124633661178816
18,-0.003065623467983635
19,-0.009019224540818771
20,-0.01326012039803811
21,0.0015455298789635518
22,0.0021437615832923646
23,-0.003738387163662743
24,-0.0003459001595044095
25,0.003677104065227364
26,0.008708769056927003
27,0.013561625484080169
28,0.0029177934512044494
29,-0.021077375245677966
30,0.008820695994403247
31,-0.0166363654952183
32,-0.0016570053323553245
33,-0.01728555780990056
34,0.0004252077151970168
35,-0.008942786355164569
36,0.002966634014872472
37,0.04000369833785662
38,-0.00018326709058192025
39,0.010507887432192742
40,-0.015479903260385218
41,-0.003056648476400382
42,0.008349823834964125
43,-0.000712038859367423
44,0.0048421785417344385
45,0.0016399437648590054
46,-0.011673619566288913
47,0.007164935220149015
48,-0.00934431157655034
49,0.022861029594744283
50,-0.0056624452416843135
51,0.008633118326683733
52,0.0004281898174473774
53,0.011829163162475767
54,-0.006825804992103107
55,0.012386393352702179
56,-0.0010867771380524112
57,0.015559668873219901
58,0.00789033524413577
59,0.0020955270093100235
60,-0.008963405399826253
61,0.009613637034717824
62,0.0060178300908977815
63,0.02010274670439881
64,-0.0041243176418194315
65,0.007057114618441902
66,0.006495208242755725
67,0.0037956728779698907
68,0.002901372484030766
69,0.002585478366995226
70,-0.00678075346670164
71,-0.011773612860627737
72,-0.004357617600668597
73,0.007489796210601228
74,0.018534232915845068
75,0.012125118956364844
76,0.01303901443008805
77,0.00972755370349596
78,0.008781743022764342
79,0.002600219461925048
80,0.009658231714451262
81,0.02168417226742423
82,-0.003531548653220239
83,-0.007925655585512113
84,0.023921031435972875
85,0.003336275378894484
86,0.012051648871793429
87,0.01088636959934853
88,-0.013228789161282162
89,0.02960177168340798
90,0.021709752391154035
